Setting MPI environment
Thread 3 from rank 0
Thread 4 from rank 0
Thread 2 from rank 0
Thread 5 from rank 0
Thread 1 from rank 0
Thread 0 from rank 0
Reading parameters:
	 rhs_function=1
	 nx=161
	 ny=161
	 foutput=100000
	 nstep_max=100000
	 tolerance=1e-08
I am rank 0 and my domain is: xmin, xmax, ymin, ymax: 0 26 0 161
I am writing output_source
Step 640, Diff=0.0187119
Step 641, Diff=0.0186975
Step 642, Diff=0.0186831
Step 643, Diff=0.0186687
Step 644, Diff=0.0186543
Step 645, Diff=0.0186399
Step 646, Diff=0.0186255
Step 647, Diff=0.0186112
Step 648, Diff=0.0185968
Step 649, Diff=0.0185825
Step 650, Diff=0.0185682
Step 651, Diff=0.0185538
Step 652, Diff=0.0185395
Step 653, Diff=0.0185252
Step 654, Diff=0.018511
Step 655, Diff=0.0184967
Step 656, Diff=0.0184824
Step 657, Diff=0.0184682
Step 658, Diff=0.0184539
Step 659, Diff=0.0184397
Step 660, Diff=0.0184255
Step 661, Diff=0.0184113
Step 662, Diff=0.0183971
Step 663, Diff=0.0183829
Step 664, Diff=0.0183687
Step 665, Diff=0.0183546
Step 666, Diff=0.0183404
Step 667, Diff=0.0183263
Step 668, Diff=0.0183122
Step 669, Diff=0.018298
Step 670, Diff=0.0182839
Step 671, Diff=0.0182698
Step 672, Diff=0.0182558
Step 673, Diff=0.0182417
Step 674, Diff=0.0182276
Step 675, Diff=0.0182136
Step 676, Diff=0.0181995
Step 677, Diff=0.0181855
Step 678, Diff=0.0181715
Step 679, Diff=0.0181575
Step 680, Diff=0.0181435
Step 681, Diff=0.0181295
Step 682, Diff=0.0181155
Step 683, Diff=0.0181015
Step 684, Diff=0.0180876
Step 685, Diff=0.0180736
Step 686, Diff=0.0180597
Step 687, Diff=0.0180458
Step 688, Diff=0.0180319
Step 689, Diff=0.018018
Step 690, Diff=0.0180041
Step 691, Diff=0.0179902
Step 692, Diff=0.0179763
Step 693, Diff=0.0179625
Step 694, Diff=0.0179486
Step 695, Diff=0.0179348
Step 696, Diff=0.017921
Step 697, Diff=0.0179071
Step 698, Diff=0.0178933
Step 699, Diff=0.0178795
Step 700, Diff=0.0178657
Step 701, Diff=0.017852
Step 702, Diff=0.0178382
Step 703, Diff=0.0178245
Step 704, Diff=0.0178107
Step 705, Diff=0.017797
Step 706, Diff=0.0177833
Step 707, Diff=0.0177696
Step 708, Diff=0.0177559
Step 709, Diff=0.0177422
Step 710, Diff=0.0177285
Step 711, Diff=0.0177148
Step 712, Diff=0.0177012
Step 713, Diff=0.0176875
Step 714, Diff=0.0176739
Step 715, Diff=0.0176603
Step 716, Diff=0.0176466
Step 717, Diff=0.017633
Step 718, Diff=0.0176194
Step 719, Diff=0.0176059
Step 720, Diff=0.0175923
Step 721, Diff=0.0175787
Step 722, Diff=0.0175652
Step 723, Diff=0.0175516
Step 724, Diff=0.0175381
Step 725, Diff=0.0175246
Step 726, Diff=0.0175111
Step 727, Diff=0.0174976
Step 728, Diff=0.0174841
Step 729, Diff=0.0174706
Step 730, Diff=0.0174571
Step 731, Diff=0.0174437
Step 732, Diff=0.0174302
Step 733, Diff=0.0174168
Step 734, Diff=0.0174033
Step 735, Diff=0.0173899
Step 736, Diff=0.0173765
Step 737, Diff=0.0173631
Step 738, Diff=0.0173497
Step 739, Diff=0.0173364
Step 740, Diff=0.017323
Step 741, Diff=0.0173096
Step 742, Diff=0.0172963
Step 743, Diff=0.017283
Step 744, Diff=0.0172696
Step 745, Diff=0.0172563
Step 746, Diff=0.017243
Step 747, Diff=0.0172297
Step 748, Diff=0.0172164
Step 749, Diff=0.0172032
Step 750, Diff=0.0171899
Step 751, Diff=0.0171767
Step 752, Diff=0.0171634
Step 753, Diff=0.0171502
Step 754, Diff=0.017137
Step 755, Diff=0.0171237
Step 756, Diff=0.0171105
Step 757, Diff=0.0170974
Step 758, Diff=0.0170842
Step 759, Diff=0.017071
Step 760, Diff=0.0170578
Step 761, Diff=0.0170447
Step 762, Diff=0.0170315
Step 763, Diff=0.0170184
Step 764, Diff=0.0170053
Step 765, Diff=0.0169922
Step 766, Diff=0.0169791
Step 767, Diff=0.016966
Step 768, Diff=0.0169529
Step 769, Diff=0.0169398
Step 770, Diff=0.0169268
Step 771, Diff=0.0169137
Step 772, Diff=0.0169007
Step 773, Diff=0.0168877
Step 774, Diff=0.0168746
Step 775, Diff=0.0168616
Step 776, Diff=0.0168486
Step 777, Diff=0.0168356
Step 778, Diff=0.0168227
Step 779, Diff=0.0168097
Step 780, Diff=0.0167967
Step 781, Diff=0.0167838
Step 782, Diff=0.0167708
Step 783, Diff=0.0167579
Step 784, Diff=0.016745
Step 785, Diff=0.0167321
Step 786, Diff=0.0167192
Step 787, Diff=0.0167063
Step 788, Diff=0.0166934
Step 789, Diff=0.0166805
Step 790, Diff=0.0166677
Step 791, Diff=0.0166548
Step 792, Diff=0.016642
Step 793, Diff=0.0166292
Step 794, Diff=0.0166163
Step 795, Diff=0.0166035
Step 796, Diff=0.0165907
Step 797, Diff=0.0165779
Step 798, Diff=0.0165652
Step 799, Diff=0.0165524
Step 800, Diff=0.0165396
Step 801, Diff=0.0165269
Step 802, Diff=0.0165141
Step 803, Diff=0.0165014
Step 804, Diff=0.0164887
Step 805, Diff=0.016476
Step 806, Diff=0.0164633
Step 807, Diff=0.0164506
Step 808, Diff=0.0164379
Step 809, Diff=0.0164252
Step 810, Diff=0.0164126
Step 811, Diff=0.0163999
Step 812, Diff=0.0163873
Step 813, Diff=0.0163746
Step 814, Diff=0.016362
Step 815, Diff=0.0163494
Step 816, Diff=0.0163368
Step 817, Diff=0.0163242
Step 818, Diff=0.0163116
Step 819, Diff=0.016299
Step 820, Diff=0.0162865
Step 821, Diff=0.0162739
Step 822, Diff=0.0162614
Step 823, Diff=0.0162488
Step 824, Diff=0.0162363
Step 825, Diff=0.0162238
Step 826, Diff=0.0162113
Step 827, Diff=0.0161988
Step 828, Diff=0.0161863
Step 829, Diff=0.0161738
Step 830, Diff=0.0161613
Step 831, Diff=0.0161489
Step 832, Diff=0.0161364
Step 833, Diff=0.016124
Step 834, Diff=0.0161115
Step 835, Diff=0.0160991
Step 836, Diff=0.0160867
Step 837, Diff=0.0160743
Step 838, Diff=0.0160619
Step 839, Diff=0.0160495
Step 840, Diff=0.0160372
Step 841, Diff=0.0160248
Step 842, Diff=0.0160124
Step 843, Diff=0.0160001
Step 844, Diff=0.0159878
Step 845, Diff=0.0159754
Step 846, Diff=0.0159631
Step 847, Diff=0.0159508
Step 848, Diff=0.0159385
Step 849, Diff=0.0159262
Step 850, Diff=0.015914
Step 851, Diff=0.0159017
Step 852, Diff=0.0158894
Step 853, Diff=0.0158772
Step 854, Diff=0.0158649
Step 855, Diff=0.0158527
Step 856, Diff=0.0158405
Step 857, Diff=0.0158283
Step 858, Diff=0.0158161
Step 859, Diff=0.0158039
Step 860, Diff=0.0157917
Step 861, Diff=0.0157795
Step 862, Diff=0.0157673
Step 863, Diff=0.0157552
Step 864, Diff=0.015743
Step 865, Diff=0.0157309
Step 866, Diff=0.0157188
Step 867, Diff=0.0157067
Step 868, Diff=0.0156945
Step 869, Diff=0.0156825
Step 870, Diff=0.0156704
Step 871, Diff=0.0156583
Step 872, Diff=0.0156462
Step 873, Diff=0.0156341
Step 874, Diff=0.0156221
Step 875, Diff=0.01561
