params: /var/spool/slurmd/job30981487/slurm_script, params_1024.txt, 
Setting MPI environment
Reading parameters:
	 rhs_function=2
	 nx=1024
	 ny=1024
	 foutput=100000
	 nstep_max=100000
	 tolerance=1e-08
	 domain_decomposition=2
	 communication=2
I am rank 0 and my domain is: xmin, xmax, ymin, ymax: 0 256 0 1024
I am rank 0, my neighbours are: left: -1, right: 1, bottom: -1, top: -1
I am writing output_source
Step 735, Diff=3.4215e-05
Step 736, Diff=3.41796e-05
Step 737, Diff=3.41443e-05
Step 738, Diff=3.41091e-05
Step 739, Diff=3.4074e-05
Step 740, Diff=3.40389e-05
Step 741, Diff=3.4004e-05
Step 742, Diff=3.39691e-05
Step 743, Diff=3.39343e-05
Step 744, Diff=3.38995e-05
Step 745, Diff=3.38649e-05
Step 746, Diff=3.38303e-05
Step 747, Diff=3.37958e-05
Step 748, Diff=3.37614e-05
Step 749, Diff=3.37271e-05
Step 750, Diff=3.36929e-05
Step 751, Diff=3.36587e-05
Step 752, Diff=3.36246e-05
Step 753, Diff=3.35906e-05
Step 754, Diff=3.35567e-05
Step 755, Diff=3.35229e-05
Step 756, Diff=3.34891e-05
Step 757, Diff=3.34554e-05
Step 758, Diff=3.34218e-05
Step 759, Diff=3.33883e-05
Step 760, Diff=3.33548e-05
Step 761, Diff=3.33215e-05
Step 762, Diff=3.32882e-05
Step 763, Diff=3.32549e-05
Step 764, Diff=3.32218e-05
Step 765, Diff=3.31887e-05
Step 766, Diff=3.31557e-05
Step 767, Diff=3.31228e-05
Step 768, Diff=3.309e-05
Step 769, Diff=3.30572e-05
Step 770, Diff=3.30245e-05
Step 771, Diff=3.29919e-05
Step 772, Diff=3.29593e-05
Step 773, Diff=3.29269e-05
Step 774, Diff=3.28945e-05
Step 775, Diff=3.28621e-05
Step 776, Diff=3.28299e-05
Step 777, Diff=3.27977e-05
Step 778, Diff=3.27656e-05
Step 779, Diff=3.27336e-05
Step 780, Diff=3.27016e-05
Step 781, Diff=3.26697e-05
Step 782, Diff=3.26379e-05
