params: /var/spool/slurmd/job30980539/slurm_script, params_128.txt, 
Setting MPI environment
Reading parameters:
	 rhs_function=2
	 nx=128
	 ny=128
	 foutput=100000
	 nstep_max=100000
	 tolerance=1e-08
	 domain_decomposition=2
	 communication=2
I am rank 0 and my domain is: xmin, xmax, ymin, ymax: 0 128 0 128
I am rank 0, my neighbours are: left: -1, right: -1, bottom: -1, top: -1
I am writing output_source
Step 712, Diff=8.27247e-05
Step 713, Diff=8.26231e-05
Step 714, Diff=8.25218e-05
Step 715, Diff=8.24207e-05
Step 716, Diff=8.23198e-05
Step 717, Diff=8.22192e-05
Step 718, Diff=8.21189e-05
Step 719, Diff=8.20188e-05
Step 720, Diff=8.19189e-05
Step 721, Diff=8.18193e-05
Step 722, Diff=8.17199e-05
Step 723, Diff=8.16208e-05
Step 724, Diff=8.15219e-05
Step 725, Diff=8.14233e-05
Step 726, Diff=8.13249e-05
Step 727, Diff=8.12267e-05
Step 728, Diff=8.11288e-05
Step 729, Diff=8.10311e-05
Step 730, Diff=8.09336e-05
Step 731, Diff=8.08364e-05
Step 732, Diff=8.07394e-05
Step 733, Diff=8.06427e-05
Step 734, Diff=8.05462e-05
Step 735, Diff=8.04499e-05
Step 736, Diff=8.03539e-05
Step 737, Diff=8.0258e-05
Step 738, Diff=8.01624e-05
Step 739, Diff=8.00671e-05
Step 740, Diff=7.99719e-05
Step 741, Diff=7.9877e-05
Step 742, Diff=7.97823e-05
Step 743, Diff=7.96879e-05
Step 744, Diff=7.95937e-05
Step 745, Diff=7.94996e-05
Step 746, Diff=7.94059e-05
Step 747, Diff=7.93123e-05
Step 748, Diff=7.9219e-05
Step 749, Diff=7.91258e-05
Step 750, Diff=7.90329e-05
Step 751, Diff=7.89402e-05
Step 752, Diff=7.88478e-05
Step 753, Diff=7.87555e-05
Step 754, Diff=7.86635e-05
Step 755, Diff=7.85717e-05
Step 756, Diff=7.84801e-05
Step 757, Diff=7.83887e-05
Step 758, Diff=7.82975e-05
Step 759, Diff=7.82065e-05
Step 760, Diff=7.81158e-05
Step 761, Diff=7.80252e-05
Step 762, Diff=7.79349e-05
Step 763, Diff=7.78448e-05
Step 764, Diff=7.77549e-05
Step 765, Diff=7.76651e-05
Step 766, Diff=7.75756e-05
Step 767, Diff=7.74863e-05
Step 768, Diff=7.73973e-05
Step 769, Diff=7.73084e-05
Step 770, Diff=7.72197e-05
Step 771, Diff=7.71312e-05
Step 772, Diff=7.70429e-05
Step 773, Diff=7.69549e-05
Step 774, Diff=7.6867e-05
Step 775, Diff=7.67793e-05
Step 776, Diff=7.66918e-05
